id_tiket;ref_tiket;tgl_tiket;status;subject;tim_agent;departemen;message_awal;message_akhir;agent;status
1324119;20230101-17YHZ0;2023-01-01 18:13:47;resolved;penyusutan transacsional masalah;L2 - SAKTI Laporan;SAKTI - Pelaporan;<p>Yth. Bapak/Ibu narita mayasari</p><p>Terima kasih telah menggunakan layanan Helpdesk Terintegrasi HAI DJPb.</p><p>Untuk analisa lebih lanjut agar disampaikan :</p><p>1. Kode satker dan kode UAKPB</p><p>2. Kode BMN dan NUP yang bermasalah</p><p>3. Penjelasan permasalahan secara rinci atas setiap NUP tsb</p><p></p><p><br></p><p>berdasarkan hasil jwban hai djpb maka kami lanjutkan menjawab :</p><p><br></p><p>dari hasil pemantauan History atas <br></p><p>KD SATKER KANTOR PUSAT BADAN NASIONAL PENCARIAN DAN PERTOLONGAN (414370) <br></p><p><br></p><p><br></p><p>1. di aset kd barang 3070101999 alat kedokteran umum lainnya  nup 3, 5, 7 , muncul penyusutan trasactional senilai 568.890 dan 595.350 sehingga nilai buku yang seharus nya nol setelah di tranfer keluar, malah nibuk nya di histori menjadi 1.164.240. seharusnya nilai buku nya nol. <br></p><p>2. muncul aset kd barang 3070101999 alat kedokteran umum lainnya nup 9-14 (6 nup) dengan nilai buku 0 yang tebentuk sendiri oleh sakti , padahal kami tidak menginput itu harusnya nup tersebut tidak muncul</p><p>3. muncul aset kd barang 3070101999 alat kedokteran umum lainnya nup 15-22 (8 nup) dengan nilai 582.120 yang tebentuk sendiri oleh sakti , padahal kami tidak menginput itu, harusnya nup tersebut tidak muncul<br></p><p>mohon solusi. karena berdapak nilai aset yg masuk menjadi dobel, dan berbeda, histori terlampir</p><p> </p>;"<p>Yth. Bapak/Ibu NARITA<br>Terima kasih telah menggunakan layanan Helpdesk Terintegrasi HAI DJPb.<br><br>Atas case tsb maka :<br><br>1. Satker asal dan satker tujuan telah dibuka periode 12-2022<br>2. TRansaksi TKTM, koreksi nilai atas BMN 3070101999 NUP 5 dan 7 telah dihapus<br>3. Atas BMN NUP tsb agar dilakukan perekaman ulang sesuai dengan transaksi seharusnya<br><br>Sebelumnya agar dicek history BMN NUP berkenaan sebelum melakukan sebuah transaksi<br></p><p><br>Demikian
 informasi ini kami sampaikan semoga dapat membantu. Apabila jawaban 
kami belum memenuhi maksud pertanyaan, Bapak/Ibu disilakan untuk 
menyampaikan pertanyaan lanjutan. Kemudian
 sebagai bahan evaluasi atas kualitas layanan kami, mohon perkenan 
Bapak/Ibu untuk dapat memberikan <b><i>feedback </i></b>atas penyampaian jawaban kami.
 Terima kasih.</p><br><br>";(665) M Priandi;resolved
1324992;20230102-PXDXEX;2023-01-02 10:31:06;resolved;Laporan FA Detail 16 Segmen COA Minus;L2 - SAKTI KOMITMEN;SAKTI - Komitmen;<p>Dengan hormat, </p><p>Satker Dinas Pekerjaan Umum Provinsi NTB (239237) menginformasikan adanya detail belanja barang yang melebihi pagu anggaran (Minus) pada laporan FA Detail 16 Segmen COA basis kas SP2D (terlampir/belanja yang minus telah diberi lingkaran), namun pada laporan FA detail 16 Segmen COA basis Akrual tidak minus. Sehubungan dengan hal tersebut, apakah pembebanan 16 segmen COA basis kas SP2D bisa melebihi pagu anggaran (minus)? dan dengan kondisi 16 segmen COA basis kas SP2D yang minus tersebut, laporan apa saja yang nantinya berpengaruh?</p><p><br></p><p>Demikian disampaikan, terimakasih atas bantuannya.</p>;"<p>Yth. Bapak/Ibu Maryanto<br>Terima kasih telah menggunakan layanan Helpdesk Terintegrasi HAI DJPb.<br>Mohon maaf atas ketidaknyamanannya dan waktu yang diperlukan untuk merespon tiket Bapak/Ibu;</p><p>Atas kendala tersebut,  Bapak/Ibu dapat melakukan proses revisi sehingga pagu terkait mencukupi dan tidak terjadi pagu minus;</p><p>Terkait dengan laporan yang terpengaruh, pagu minus tersebut hanya berpengaruh pada laporan FA dan laporan realisasi anggaran;<br></p><p><br>Demikian informasi ini kami sampaikan semoga dapat membantu. Terima kasih.</p><br>";(014) Faried Zamachsari;resolved
1324993;20230102-NTO40A;2023-01-02 10:31:15;resolved;Deviasi RPD SPM DAU;L2 - SAKTI Laksana;SAKTI - Pembayaran;"<div><span style=""font-family:Calibri, Arial, Helvetica, sans-serif;font-size:12pt;color:rgb(0,0,0);background-color:rgb(255,255,255);"">Sesuai ND Direktur Pengelolaan Kas Negara Nomor : 1868/PB.3/2022
 disebutkan&nbsp;Pemberian dispensasi <span style=""background-color:rgb(255,255,255);display:inline;"">
RPD&nbsp;</span>penyaluran DAU oleh Kepala KPPN dilakukan sesuai dengan Peraturan Menteri Keuangan Nomor&nbsp;<span style=""background-color:rgb(255,255,255);display:inline;"">197/PMK.05/2017, atas hal tsb disampaikan
 hal-hal sbb :</span></span></div>
<div>
<ol>
<li style=""font-size:12pt;font-family:Calibri, Arial, Helvetica, sans-serif;color:rgb(0,0,0);"">
<span><span style=""font-family:Calibri, Arial, Helvetica, sans-serif;font-size:12pt;color:rgb(0,0,0);background-color:rgb(255,255,255);""><span style=""background-color:rgb(255,255,255);display:inline;"">SPM
 sebagai penyalur dana transfer telah mengajuan 4 SPM dan sudah terbit sp2d</span></span></span>
<div><span><span style=""font-family:Calibri, Arial, Helvetica, sans-serif;font-size:12pt;color:rgb(0,0,0);background-color:rgb(255,255,255);""><span style=""background-color:rgb(255,255,255);display:inline;"">[attach:image:106820YQRWMJSPPY1068191946A2EDC:image.png]&nbsp;</span><span style=""font-size:18.3333px;font-family:sans-serif;background-color:rgb(255,255,255);"">P</span>&nbsp;2.
 KPPN sebagai penyalur dana transfer sudah mengajuan surat dispensasi pada tgl 30 Des 2022 (saat pengajuan), namun 4 SPM dimaksud tidak muncul pada menu sheduled payment date pada SAKTI BUN, baik Tahun 2022 maupun 2023 sehingg KPPN sebagai BUN tidak dapat memproses
 perubahan tgl jatuh tempo menjadi tgl 2 Januari 2023.</span></span></div>
<div style=""font-size:12pt;font-family:Calibri, Arial, Helvetica, sans-serif;color:rgb(0,0,0);"">
<span><span style=""font-family:Calibri, Arial, Helvetica, sans-serif;font-size:12pt;color:rgb(0,0,0);background-color:rgb(255,255,255);"">[attach:image:106820AKYGCPXAQK10681919571F9C0:image.png]<br />
</span></span></div>
<div style=""font-size:12pt;font-family:Calibri, Arial, Helvetica, sans-serif;color:rgb(0,0,0);"">
<span><span style=""font-family:Calibri, Arial, Helvetica, sans-serif;font-size:12pt;color:rgb(0,0,0);background-color:rgb(255,255,255);"">3. atas hal tersebut, saat ini terjadi deviasi RPD pada omSPAN pada tgl 2 Januari 2023</span></span></div>
<div style=""font-size:12pt;font-family:Calibri, Arial, Helvetica, sans-serif;color:rgb(0,0,0);"">
<span><span style=""font-family:Calibri, Arial, Helvetica, sans-serif;font-size:12pt;color:rgb(0,0,0);background-color:rgb(255,255,255);"">[attach:image:106820TZKKSDWKWG106819196EB947D:image.png]<br />
</span></span></div>
</li></ol>
<div><span style=""font-family:Calibri, Arial, Helvetica, sans-serif;font-size:12pt;color:rgb(0,0,0);""><span style=""font-family:Calibri, Arial, Helvetica, sans-serif;font-size:12pt;color:rgb(0,0,0);background-color:rgb(255,255,255);"">Demikian
 disampaikan,, mohon petunjuk lebih lanjut ?</span></span></div>
<ol>
<li style=""display:block;font-size:12pt;font-family:Calibri, Arial, Helvetica, sans-serif;color:rgb(0,0,0);"">
<span><span style=""font-family:Calibri, Arial, Helvetica, sans-serif;font-size:12pt;color:rgb(0,0,0);background-color:rgb(255,255,255);""><br />
</span></span>
<div style=""font-size:18.3333px;font-family:sans-serif;""><span><span style=""font-family:Calibri, Arial, Helvetica, sans-serif;font-size:12pt;color:rgb(0,0,0);background-color:rgb(255,255,255);""><span style=""background-color:rgb(255,255,255);font-size:18.3333px;font-family:sans-serif;"">Menteri
 Keuangan Nomor 197/PMK./201</span></span><br />
</span></div>
</li></ol>
</div>";"<p>Yth. Bapak/Ibu Rizki Aprianto<br>Terima kasih telah menggunakan layanan Helpdesk Terintegrasi HAI DJPb.<br><br>Mohon maaf atas ketidaknyamanan dan keterlambatan kami dalam merespon tiket. Silahkan Bapak/Ibu dapat mengecek laporan deviasi kembali  secara berkala. </p><p><br></p><p>Apabila masih terjadi deviasi, Bapak/Ibu dapat membalas tiket ini  kembali dengan  melampirkan Laporan Deviasi per Satker dari OMSPAN.<br></p><p><br>Demikian
 informasi ini kami sampaikan semoga dapat membantu. Apabila jawaban 
kami belum memenuhi maksud pertanyaan, Bapak/Ibu disilakan untuk 
menyampaikan pertanyaan lanjutan. Kemudian
 sebagai bahan evaluasi atas kualitas layanan kami, mohon perkenan 
Bapak/Ibu untuk dapat memberikan <b><i>feedback </i></b>atas penyampaian jawaban kami.
 Terima kasih.</p><br><br>";(727) Faiz Al Azhar;resolved
1325108;20230102-3W7U70;2023-01-02 10:52:08;resolved;selisih;L2 - SAKTI Laporan;SAKTI - Pelaporan;<p>Selamat pagi bapak/ibu, kami satker Dittopad mohon bantuan nya pak,</p><p>terkait selisih Rp 2 , di Akumulasi Penyusutan Aset tetap ,</p><p>mohon ijin kami lampirkan Permasalahan nya ,terimakasih</p>;"<p>Yth. Bapak/Ibu Ardinsyah Putra<br>Terima kasih telah menggunakan layanan Helpdesk Terintegrasi HAI DJPb.<br><br>LAporan berkenaan agar dicek kembali<br><br>[attach:image:111084GXNTRHTHTR111083521CED54E:upload.png]<br></p><p><br>Demikian
 informasi ini kami sampaikan semoga dapat membantu. Apabila jawaban 
kami belum memenuhi maksud pertanyaan, Bapak/Ibu disilakan untuk 
menyampaikan pertanyaan lanjutan. Kemudian
 sebagai bahan evaluasi atas kualitas layanan kami, mohon perkenan 
Bapak/Ibu untuk dapat memberikan <b><i>feedback </i></b>atas penyampaian jawaban kami.
 Terima kasih.</p><br><br>";(665) M Priandi;resolved
1325401;20230102-TZGAO9;2023-01-02 11:51:45;resolved;Permohonan Penyesuaian Saldo Accrual dengan Saldo Kas di SAKTI;L2 - SAKTI KOMITMEN;SAKTI - Komitmen;<p>Selamat pagi, kami ingin menyampaikan bahwa terdapat ketidak sesuaian antara saldo akhir pada laporan FA Accrual dengan saldo pada FA Kas. Mohon bantuan untuk mengatasi permasalahan tersebut. Bersama ini kami lampirkan dokumen pendukung. <br></p>;<p>Yth. Bapak/Ibu DINAS BMBK LAMPUNG<br>Terima kasih telah menggunakan layanan Helpdesk Terintegrasi HAI DJPb.<br></p><p></p><p>Sebelumnya kami mohon maaf atas kendala dan lamanya kami dalam membalas email Saudara.</p><p>Apabila kendala masih terjadi, mohon dapat membalas kembali email ini dengan dilampiri data dukung permasalahan terkini.</p><br><p>Demikian kami sampaikan, mohon maaf atas ketidaknyamananya. Terima kasih.</p><br>;(014) Faried Zamachsari;resolved
1325523;20230102-WTNXRW;2023-01-02 12:30:04;resolved;Jumlah barang yg berbeda antara akun Satker dan Anak Satker;L2 - SAKTI Laporan;SAKTI - Pelaporan;<p>Selamat siang. Saya Ali, Operator Aset Tetap dari Satker 427768, Kemenko PMK. </p><p>Di Satker kami, ada akun anak Satker untuk bagian Perpustakaan. Berdasarkan cetak laporan yang dilakukan, terdapat perbedaan jumlah BMN Buku Lainnya (6.01.01.01.999) antara akun Satker dan Anak Satker. Akun Satker memiliki 8.490 unit sedangkan Akun Anak Satker 8.417 unit. Kenapa bisa ada perbedaan?<br>Selain itu, saat akan melakukan input buku baru hasil pembelian, NUP yang terakhir adalah 73, padahal di laporan barang ada 8rb unit.</p><p><br></p><p>Sedikit info: Kami ada kesalahan administrasi pada TA 2021. Dilakukan pembelian buku baru, namun tidak ada koordinasi oleh petugas perpusnya. Baru ketahuan saat mendekati semester 2 tahun 2022 (oleh BPK tidak menjadi temuan). Sehingga buku 2021 tersebut diinput di menu Saldo awal. Buku baru tersebut berjumlah 391 unit. <br>Mohon bantuan atas perbedaan data yang dimaksud. Terima kasih.</p>;<p>Yth. Bapak/Ibu Ali Haidir<br>Terima kasih telah menggunakan layanan Helpdesk Terintegrasi HAI DJPb.<br><br></p><p><br></p><br><br>;(665) M Priandi;resolved
1325925;20230102-R2XUJ8;2023-01-02 14:23:45;resolved;Ada Selisih Saldo Lainnya Menurut UAKPA;L2 - SAKTI Laporan;SAKTI - Pelaporan;<p>Selamat Siang Saya dari satker 682956 ingin menanyakan perihal LPJ Bendahara Pengeluaran..<br></p><p>Saya Mau tanya Pak... Proses Hibah sudah selesai sampai pencatatan SPHL nya.. saya juga sudah input setoran pengembalian UP dan juga sudah mencatat SP2D GU Nihil.. </p><p>Tetapi pada saat mencetak LPJ/ Hasil pemeriksaan Kas ada minus di Kas lainnya menurut UAKPA  sebesar nilai Hibah (50.000.000) <br><br>Apa ada proses yang terlewatkan yang belum di input atau bagaimana Pak?</p>;<p>Yth. Bapak/Ibu <br>Terima kasih telah menggunakan layanan Helpdesk Terintegrasi HAI DJPb.<br><br></p><p>Baik sesuai batas akhir penyampaian LK pada 28 Februari 2023 semestinya permaslaahn ini juga sudah selesai di level penyusunan LK di tingkat KL, Dan untuk angka unaudited sudah ditutup pada 28 Februari 2023  maka jika masih ada kendala bisa diinfokan kembali</p><p><br>Demikian informasi ini kami sampaikan semoga dapat membantu. Apabila jawaban kami belum memenuhi maksud pertanyaan, Bapak/Ibu disilakan untuk menyampaikan pertanyaan lanjutan. Kemudian sebagai bahan evaluasi atas kualitas layanan kami, mohon perkenan Bapak/Ibu untuk dapat memberikan <b><i>feedback </i></b>atas penyampaian jawaban kami. Terima kasih.</p><br>;(022) Hafez Aditya;resolved
1326293;20230102-75B1S8;2023-01-02 15:53:18;resolved;Modul Komitmen SAKTI : Permohonan void BAST Hibah;L2 - SAKTI KOMITMEN;SAKTI - Komitmen;"<div style=""font-family:Calibri, Arial, Helvetica, sans-serif;font-size:12pt;color:rgb(0,0,0);background-color:rgb(255,255,255);"">
Yth. PIC Modul Komitmen SAKTI</div>
<div style=""font-family:Calibri, Arial, Helvetica, sans-serif;font-size:12pt;color:rgb(0,0,0);background-color:rgb(255,255,255);"">
<br />
</div>
<div><span style=""font-size:12pt;font-family:'Times New Roman', serif;"">Pada
 Satker Polres Rembang (<span style=""font-size:12pt;font-family:'Times New Roman', serif;"">643522)
 t</span>elah terjadi </span><span style=""font-size:12pt;font-family:'Times New Roman', serif;"">kesalahan pencatatan
 tanggal BAST Hibah langsung barang berharga nomor S-5418/WPB.14/2022 tanggal 19-12-2022 seharusnya tanggal 21-12-2021 sehingga tidak dapat dilanjutkan untuk pembuatan SPP MPHL-BJS TAYL. Namun&nbsp;<span style=""font-size:12pt;font-family:'Times New Roman', serif;"">BAST
</span><span style=""font-size:12pt;font-family:'Times New Roman', serif;"">Hibah tersebut</span><span style=""font-size:12pt;font-family:'Times New Roman', serif;"">
</span><span style=""font-size:12pt;font-family:'Times New Roman', serif;"">terlanjur dilakukan pendetilan
 pada modul&nbsp;</span><span style=""font-size:12pt;font-family:'Times New Roman', serif;"">Aset Tetap dengan rincian
 pendetilan sbb :</span></span><br />
</div>
<div>
<table width=""584"" style=""width:438.3pt;border:none;"">
<tbody>
<tr style=""height:24.75pt;"">
<td width=""111"" valign=""top"" style=""width:83.6pt;border:solid 1pt;padding:0cm 5.4pt 0cm 5.4pt;height:24.75pt;"">
<p align=""center"" style=""font-size:11pt;font-family:Calibri, 'sans-serif';"">
<span style=""font-size:12pt;font-family:'Times New Roman', serif;"">Kode Barang</span></p><p>&nbsp;</p>
</td>
<td width=""59"" valign=""top"" style=""width:44.55pt;border:solid 1pt;padding:0cm 5.4pt 0cm 5.4pt;height:24.75pt;"">
<p align=""center"" style=""font-size:11pt;font-family:Calibri, 'sans-serif';"">
<span style=""font-size:12pt;font-family:'Times New Roman', serif;"">NUP</span></p><p>&nbsp;</p>
</td>
<td width=""123"" valign=""top"" style=""width:92.2pt;border:solid 1pt;padding:0cm 5.4pt 0cm 5.4pt;height:24.75pt;"">
<p align=""center"" style=""font-size:11pt;font-family:Calibri, 'sans-serif';"">
<span style=""font-size:12pt;font-family:'Times New Roman', serif;"">Nama Barang</span></p><p>&nbsp;</p>
</td>
<td width=""67"" valign=""top"" style=""width:50.05pt;border:solid 1pt;padding:0cm 5.4pt 0cm 5.4pt;height:24.75pt;"">
<p align=""center"" style=""font-size:11pt;font-family:Calibri, 'sans-serif';"">
<span style=""font-size:12pt;font-family:'Times New Roman', serif;"">Jumlah</span></p><p>&nbsp;</p>
</td>
<td width=""120"" valign=""top"" style=""width:90.35pt;border:solid 1pt;padding:0cm 5.4pt 0cm 5.4pt;height:24.75pt;"">
<p class=""MsoNormal"" style=""margin:0;; align="" center="""">
<span style=""font-size:12pt;font-family:'Times New Roman', serif;"">Nilai Total</span></p><p>&nbsp;</p>
</td>
</tr>
<tr style=""height:20.85pt;"">
<td width=""111"" valign=""top"" style=""width:83.6pt;border:solid 1pt;padding:0cm 5.4pt 0cm 5.4pt;height:20.85pt;"">
<p style=""font-size:11pt;font-family:Calibri, 'sans-serif';"">
<span style=""font-size:12pt;font-family:'Times New Roman', serif;"">2010104001</span></p><p>&nbsp;</p>
</td>
<td width=""59"" valign=""top"" style=""width:44.55pt;padding:0cm 5.4pt 0cm 5.4pt;height:20.85pt;"">
<p align=""center"" style=""font-size:11pt;font-family:Calibri, 'sans-serif';"">
<span style=""font-size:12pt;font-family:'Times New Roman', serif;"">24</span></p><p>&nbsp;</p>
</td>
<td width=""123"" valign=""top"" style=""width:92.2pt;padding:0cm 5.4pt 0cm 5.4pt;height:20.85pt;"">
<p align=""center"" style=""font-size:11pt;font-family:Calibri, 'sans-serif';"">
<span style=""font-size:12pt;font-family:'Times New Roman', serif;"">Tanah bangunan Pemerintah</span></p><p>&nbsp;</p>
</td>
<td width=""67"" valign=""top"" style=""width:50.05pt;padding:0cm 5.4pt 0cm 5.4pt;height:20.85pt;"">
<p align=""center"" style=""font-size:11pt;font-family:Calibri, 'sans-serif';"">
<span style=""font-size:12pt;font-family:'Times New Roman', serif;"">1</span></p><p>&nbsp;</p>
</td>
<td width=""120"" valign=""top"" style=""width:90.35pt;padding:0cm 5.4pt 0cm 5.4pt;height:20.85pt;"">
<p class=""MsoNormal"" style=""margin:0;; align="" right="""">
<span style=""font-size:12pt;font-family:'Times New Roman', serif;"">944.000.000</span></p><p>&nbsp;</p>
</td>
</tr>
</tbody>
</table>
</div>
<div><span style=""font-family:'Times New Roman', serif;font-size:12pt;"">Atas keterlanjuran pendetilan di modul aset tetap telah dilakukan penghapusan aset tetap tersebut melalui menu : Aset Tetap - Transaksi BMN - Penghapusan - Koreksi
 Pencatatan.</span><br />
</div>
<div><span style=""font-size:12pt;font-family:'Times New Roman', serif;""><span style=""font-size:12pt;font-family:'Times New Roman', serif;"">Selanjutnya
 telah dilakukan jurnal manual GLP pada tanggal 29 Des 2022, sebagai berikut :</span></span></div>
<div><span style=""font-size:12pt;font-family:'Times New Roman', serif;""><span style=""font-size:12pt;font-family:'Times New Roman', serif;"">(D)
 218211 Hibah langsung yang belum disahkan&nbsp; &nbsp; &nbsp; : Rp944.000.000,-</span></span></div>
<div><span style=""font-size:12pt;font-family:'Times New Roman', serif;""><span style=""font-size:12pt;font-family:'Times New Roman', serif;"">(K)
 391116 Koreksi Nilai Aset Tetap non Revaluasi&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; : Rp944.000.000,-<br />
</span></span></div>
<div><span style=""font-size:12pt;font-family:'Times New Roman', serif;""><span style=""font-size:12pt;font-family:'Times New Roman', serif;""><br />
</span></span></div>
<div><span style=""font-size:12pt;font-family:'Times New Roman', serif;""><span style=""font-size:12pt;font-family:'Times New Roman', serif;"">Sehubungan
 dengan hal tersebut diatas, dengan ini dimohon bantuannya untuk melakukan void BAST Hibah pada Modul Komitmen SAKTI sbb :</span></span></div>
<div><span style=""font-size:12pt;font-family:'Times New Roman', serif;""><span style=""font-size:12pt;font-family:'Times New Roman', serif;"">
</span></span><p style=""font-size:11pt;font-family:Calibri, 'sans-serif';"">
</p>
<p style=""font-size:11pt;font-family:Calibri, 'sans-serif';"">
<span style=""font-size:12pt;font-family:'Times New Roman', serif;"">Kode Satker<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
</span>:</span><span style=""font-size:12pt;font-family:'Times New Roman', serif;""> 643522&nbsp;</span></p>
<p style=""font-size:11pt;font-family:Calibri, 'sans-serif';"">
<span style=""font-size:12pt;font-family:'Times New Roman', serif;"">Nomor
</span><span style=""font-size:12pt;font-family:'Times New Roman', serif;"">BAST
</span><span style=""font-size:12pt;font-family:'Times New Roman', serif;""><span>&nbsp;&nbsp;&nbsp;</span>:<span>&nbsp;
</span></span><span style=""font-size:12pt;font-family:'Times New Roman', serif;"">S-5418/WPB.14/2022&nbsp;</span></p>
<p style=""font-size:11pt;font-family:Calibri, 'sans-serif';"">
<span style=""font-size:12pt;font-family:'Times New Roman', serif;"">Tanggal<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
</span>:<span>&nbsp; </span></span><span style=""font-size:12pt;font-family:'Times New Roman', serif;"">19 Desember 2022&nbsp;</span></p>
<p style=""font-size:11pt;font-family:Calibri, 'sans-serif';"">
<span style=""font-size:12pt;font-family:'Times New Roman', serif;"">Nilai<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
</span>:&nbsp; Rp</span><span style=""font-size:12pt;font-family:'Times New Roman', serif;"">.944.000.000&nbsp;</span></p>
<p style=""font-size:11pt;font-family:Calibri, 'sans-serif';"">
<span style=""font-size:12pt;font-family:'Times New Roman', serif;"">Kode Coa<span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;
</span>:&nbsp;&nbsp;</span><span style=""font-size:10pt;font-family:'Times New Roman', serif;"">643522.097.000000.0600100.0000000.L000000000.00000.2.0313.0.000000.000000<a>&nbsp;</a></span></p>
<p style=""font-size:11pt;font-family:Calibri, 'sans-serif';"">
<span style=""font-size:10pt;font-family:'Times New Roman', serif;""><a><br />
</a></span></p>
<p style=""font-size:11pt;font-family:Calibri, 'sans-serif';"">
<span style=""font-size:10pt;font-family:'Times New Roman', serif;""><a>Terlampir kami sampaikan SPTJM void BAST Hibah dan cetakan Jurnal manual pada modul GLP.</a></span></p>
<p style=""font-size:11pt;font-family:Calibri, 'sans-serif';"">
<span style=""font-size:10pt;font-family:'Times New Roman', serif;""><a><br />
</a></span></p>
<p style=""font-size:11pt;font-family:Calibri, 'sans-serif';"">
<span style=""font-size:10pt;font-family:'Times New Roman', serif;""><a>Atas Bantuannya kami ucapkan terima kasih.</a></span></p>
<p style=""font-size:11pt;font-family:Calibri, 'sans-serif';"">
<span><span style=""font-size:10pt;font-family:'Times New Roman', serif;"">&nbsp;</span></span></p>
<p style=""font-size:11pt;font-family:Calibri, 'sans-serif';"">
</p><br />
<br />
</div>
<div><span style=""font-size:12pt;font-family:'Times New Roman', serif;""><br />
</span></div>";"<p>Yth. Bapak/Ibu Sri Agustina<br>Terima kasih telah menggunakan layanan Helpdesk Terintegrasi HAI DJPb.<br>Mohon maaf atas ketidaknyamanannya dan waktu yang diperlukan untuk merespon tiket Bapak/Ibu;<br>Atas kendala tersebut, dapat kami sampaikan beberapa hal:</p><p>-Atas BAST Hibah langsung barang, tidak terjadi pembebanan pada FA sehingga tidak perlu dilakukan proses void BAST;</p><p>-Dalam hal BAST terkait sudah dilakukan perekaman pendetailan pada modul aset, maka untuk melakukan penyesuaian cukup dilakukan jurnal manual atas transaksi terkait;</p><p>-Untuk detail untuk jurnal yang digunakan, Bapak/Ibu dapat membuat tiket baru ditujukan kepada tim aplikasi SAKTI modul GL dan Pelaporan;<br></p><p><br>Demikian informasi ini kami sampaikan semoga dapat membantu. Terima kasih.</p><br>";(014) Faried Zamachsari;resolved
1326449;20230102-YHITV0;2023-01-02 16:33:49;resolved;Tidak bisa simpan Capaian Output Desember;L2 - SAKTI KOMITMEN;SAKTI - Komitmen;<p>Selamat Sore,</p><p>Satker Polres Jember 644243 melakukan perekaman data capaian output bulan Desember, namun saat simpan terdapat validasi isian data tidak valid, Progres Capaian RO Kumulatif melebihi 100% ( Screenshot terlampir). Progres Capaian RO Kumulatif sebelumnya sebesar 87.85%, sehingga satker merekam penambahan sebesar 12.15% namun masih terkena validasi melebihi 100%. Mohon solusi terkait kendala tersebut. Terima kasih</p>;"<p>Yth. Bapak/Ibu CSO Jember<br>Terima kasih telah menggunakan layanan Helpdesk Terintegrasi HAI DJPb.<br></p><p>Mohon maaf atas ketidaknyamanannya dan waktu yang diperlukan untuk merespon tiket Bapak/ibu;<br>Atas kendala tersebut, telah dilakukan penyesuaian aplikasi oleh tim pengembang;</p><p>Bapak/Ibu dapat melakukan pengecekan kembali atas kesesuaian data dimaksud dan melakukan pengiriman ulang agar data pada monevpa dapat terupdate;</p><p><br>Demikian informasi ini kami sampaikan semoga dapat membantu. Terima kasih.</p><br><br>";(014) Faried Zamachsari;resolved
1326457;20230102-VLF099;2023-01-02 16:36:40;resolved;Kendala Transfer Keluar dan Transfer Masuk;L2 - SAKTI Laporan;SAKTI - Pelaporan;<p>Mohon Ijin Kami dari Satker Puspalad, Terdapat kendala pada proses Transfer Keluar dan Transfer Masuk antara Satker Puspalad (344516) dengan Satker Paldam Jaya (344460)<br><br>TK Paldam Jaya  senilai : Rp. 489.105.514 dan Rp (489.105.514)<br><br>TM Puspalad senilai : Rp. 416.757.706 dan Rp (416.757.706)<br> <br>Nama Akun : Aset tetap yang tidak digunakan dalam operasi pemerintahan dan Akumulasi Penyusutan Aset tetap yang tidak digunakan dalam operasi pemerintahan.<br><br>Selisih kurang TM : Rp. 72.347.808 dan Rp (72.347.808)<br><br>Pada Subsatker Gupusjat I Optronik (012.22.0159.344516.004KD) dan Gupusjat II Optronik (012.22.0159.344516.005KD) Puspalad telah melaksanakan TM dari Satker Paldam Jaya namun masih terdapat selisih, pada menu transfer masuk online sudah tidak ada barang yang di TM dari Paldam Jaya.<br><br>Mohon petunjuk penyelesaianya. Terimakasih.<br></p>;"<p>Yth. Bapak/Ibu Renaldi Putra Sidiq<br>Terima kasih telah menggunakan layanan Helpdesk Terintegrasi HAI DJPb.<br><br>Apakah case TKTM yang belum muncul sudah terselesaikan?<br><br>Apabila belum selesai agar disampaikan screenshoot yang menunjukkan selisih TK TM berkenaan<br></p><p><br>Demikian
 informasi ini kami sampaikan semoga dapat membantu. Apabila jawaban 
kami belum memenuhi maksud pertanyaan, Bapak/Ibu disilakan untuk 
menyampaikan pertanyaan lanjutan. Kemudian
 sebagai bahan evaluasi atas kualitas layanan kami, mohon perkenan 
Bapak/Ibu untuk dapat memberikan <b><i>feedback </i></b>atas penyampaian jawaban kami.
 Terima kasih.</p><br><br>";(665) M Priandi;resolved
